duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
86,tcp,smtp,S0,58292,27245,1,1,0,2,3,0,0,1,0,8,6,1,4,0,0,1,90,476,0.907,0.411,0.02,0.944,0.951,0.714,0.108,250,178,0.019,0.114,0.861,0.368,0.728,0.199,0.616,0.062
346,tcp,private,REJ,5303,20365,1,0,3,11,2,0,10,0,0,5,3,0,3,0,0,0,171,104,0.203,0.498,0.115,0.923,0.861,0.151,0.925,231,36,0.798,0.216,0.19,0.799,0.546,0.644,0.019,0.937
213,udp,ftp_data,S1,17028,38511,0,3,1,27,1,0,5,1,0,13,10,2,4,0,0,1,134,92,0.026,0.569,0.638,0.362,0.365,0.602,0.579,1,96,0.697,0.483,0.332,0.258,0.92,0.458,0.76,0.686
224,tcp,private,S0,50264,26074,1,0,0,6,1,0,14,0,0,6,10,1,0,0,0,1,468,331,0.817,0.89,0.858,0.958,0.219,0.613,0.642,152,19,0.855,0.027,0.843,0.648,0.206,0.688,0.014,0.947
252,udp,private,S0,59979,31288,0,1,2,24,4,0,1,1,1,10,4,1,4,0,0,1,438,304,0.804,0.845,0.657,0.945,0.818,0.277,0.248,166,120,0.69,0.578,0.833,0.656,0.962,0.548,0.155,0.577
122,icmp,private,S0,16039,50341,0,3,0,6,1,1,1,0,0,5,2,1,1,0,0,0,305,398,0.86,0.949,0.022,0.898,0.822,0.289,0.851,94,131,0.927,0.157,0.202,0.024,0.672,0.386,0.909,0.967
191,udp,private,S0,37793,18227,1,1,0,9,0,0,15,0,0,4,9,2,2,0,0,1,373,476,0.962,0.904,0.544,0.333,0.612,0.17,0.451,195,102,0.801,0.844,0.115,0.871,0.649,0.409,0.325,0.062
203,udp,ftp_data,S1,17485,55889,1,2,0,16,4,1,9,0,0,6,3,0,4,0,0,0,318,45,0.015,0.12,0.077,0.469,0.708,0.018,0.756,252,88,0.659,0.301,0.836,0.108,0.634,0.895,0.582,0.086
71,icmp,private,S0,56333,16483,1,1,1,14,5,0,15,0,1,6,3,0,3,0,0,0,395,490,0.821,0.856,0.051,0.53,0.736,0.381,0.961,42,84,0.282,0.675,0.309,0.105,0.44,0.592,0.137,0.06
234,udp,ftp_data,REJ,55537,21280,1,2,0,10,3,0,13,1,0,9,10,1,2,0,0,1,145,466,0.238,0.388,0.128,0.442,0.158,0.087,0.265,65,201,0.845,0.43,0.259,0.412,0.836,0.557,0.021,0.657
209,icmp,ftp_data,S1,5941,15732,0,3,0,16,4,0,8,0,1,11,0,1,3,0,0,0,483,212,0.196,0.854,0.389,0.794,0.712,0.59,0.601,54,112,0.384,0.112,0.52,0.032,0.741,0.916,0.646,0.33
360,icmp,ftp_data,RSTR,13015,36352,0,1,2,3,5,0,5,1,0,13,5,2,3,0,0,1,315,100,0.633,0.805,0.668,0.79,0.741,0.776,0.293,140,35,0.451,0.364,0.834,0.611,0.378,0.232,0.914,0.276
448,icmp,smtp,SF,50927,3717,0,2,1,0,5,0,10,0,1,10,6,1,0,0,0,1,40,214,0.379,0.679,0.784,0.662,0.361,0.259,0.583,227,73,0.072,0.754,0.882,0.923,0.181,0.529,0.208,0.017
144,tcp,http,S0,41782,42752,0,1,0,23,1,0,7,1,0,17,10,0,1,0,0,1,261,205,0.565,0.149,0.16,0.667,0.941,0.249,0.685,25,156,0.081,0.8,0.157,0.985,0.895,0.285,0.066,0.381
496,tcp,smtp,REJ,16214,40744,0,2,1,12,5,0,1,1,0,14,4,0,0,0,0,1,188,92,0.817,0.375,0.761,0.906,0.199,0.53,0.011,224,50,0.943,0.019,0.187,0.091,0.697,0.947,0.055,0.567
212,tcp,private,S0,15212,43896,1,3,0,3,5,0,12,0,1,5,7,2,3,0,0,1,424,353,0.936,0.967,0.595,0.198,0.058,0.441,0.93,34,155,0.719,0.889,0.917,0.482,0.95,0.24,0.733,0.23
412,udp,http,S1,19612,46061,1,0,3,16,2,1,6,1,0,1,8,1,4,0,0,0,342,276,0.09,0.139,0.367,0.158,0.75,0.07,0.353,12,23,0.335,0.637,0.333,0.605,0.629,0.524,0.436,0.835
378,tcp,eco_i,REJ,37396,50388,1,3,3,24,1,1,7,1,0,10,5,2,4,0,0,0,330,464,0.192,0.414,0.368,0.932,0.84,0.511,0.678,233,63,0.254,0.199,0.747,0.997,0.28,0.83,0.526,0.001
430,icmp,private,REJ,48629,55047,1,1,0,12,5,0,6,1,0,5,2,2,4,0,0,0,263,42,0.865,0.907,0.039,0.685,0.898,0.754,0.305,221,212,0.538,0.175,0.685,0.092,0.934,0.191,0.08,0.245
286,tcp,eco_i,RSTR,40457,49277,1,1,2,15,4,0,10,1,1,8,2,0,3,0,0,0,216,363,0.627,0.512,0.261,0.629,0.609,0.817,0.528,206,215,0.733,0.162,0.767,0.121,0.009,0.856,0.288,0.437
83,icmp,ftp_data,S1,14171,11038,1,1,1,20,5,0,8,0,0,14,3,0,3,0,0,1,4,193,0.445,0.429,0.305,0.677,0.284,0.51,0.546,94,170,0.134,0.07,0.618,0.312,0.205,0.346,0.026,0.437
304,icmp,private,SF,1388,53034,1,0,3,12,5,0,9,1,1,11,0,0,3,0,0,0,282,465,0.741,0.668,0.468,0.472,0.069,0.995,0.431,201,228,0.534,0.297,0.69,0.551,0.271,0.98,0.038,0.879
393,tcp,smtp,REJ,10997,51213,1,1,2,11,1,0,9,1,1,18,10,0,3,0,0,0,476,414,0.032,0.004,0.709,0.981,0.074,0.828,0.82,139,174,0.873,0.051,0.229,0.624,0.092,0.34,0.818,0.78
173,icmp,smtp,SF,5670,36794,0,1,1,2,4,0,8,0,1,14,4,1,2,0,0,1,498,444,0.215,0.418,0.194,0.85,0.178,0.549,0.927,105,247,0.074,0.281,0.586,0.0,0.155,0.552,0.516,0.925
285,udp,smtp,S1,40928,17517,1,1,0,21,4,0,9,1,1,0,8,1,4,0,0,1,461,309,0.483,0.81,0.858,0.887,0.875,0.367,0.666,82,97,0.755,0.759,0.606,0.138,0.889,0.569,0.024,0.01
184,udp,ftp_data,SF,28310,24418,1,2,0,19,3,0,15,0,0,7,1,0,0,0,0,0,252,273,0.866,0.738,0.361,0.14,0.445,0.96,0.436,200,13,0.169,0.379,0.726,0.736,0.53,0.354,0.057,0.129
195,icmp,http,S0,43576,10184,0,0,1,14,0,1,8,0,1,7,8,1,1,0,0,1,159,161,0.535,0.809,0.314,0.852,0.902,0.789,0.744,122,29,0.952,0.019,0.624,0.405,0.276,0.815,0.149,0.301
14,icmp,private,REJ,54674,45231,0,1,1,24,0,1,11,0,1,3,6,2,2,0,0,0,220,27,0.085,0.136,0.616,0.615,0.961,0.165,0.235,218,106,0.345,0.555,0.616,0.403,0.693,0.163,0.773,0.298
393,udp,private,S0,50641,19623,1,0,2,1,4,0,13,0,0,5,3,2,1,0,0,1,504,300,0.827,0.98,0.079,0.991,0.184,0.786,0.631,234,79,0.819,0.943,0.054,0.749,0.996,0.262,0.816,0.751
246,udp,smtp,SF,59607,27543,0,1,0,9,2,0,0,0,0,1,6,2,3,0,0,1,356,85,0.691,0.234,0.882,0.133,0.462,0.537,0.216,238,161,0.521,0.172,0.795,0.112,0.913,0.995,0.104,0.426
218,udp,private,REJ,19095,53448,0,3,1,16,5,0,12,1,1,15,10,1,1,0,0,1,196,278,0.369,0.329,0.76,0.791,0.711,0.595,0.797,222,75,0.868,0.808,0.355,0.007,0.799,0.547,0.11,0.626
76,icmp,private,S0,58379,23053,0,2,2,6,1,1,8,0,1,14,0,2,0,0,0,1,434,375,0.852,0.968,0.889,0.295,0.339,0.983,0.088,147,171,0.757,0.569,0.535,0.444,0.133,0.063,0.837,0.733
238,udp,smtp,RSTR,9508,53449,1,2,0,20,5,0,4,0,0,9,9,0,3,0,0,1,404,112,0.144,0.256,0.09,0.958,0.683,0.509,0.848,37,75,0.34,0.141,0.389,0.383,0.164,0.306,0.53,0.455
175,icmp,ftp_data,RSTR,39083,51293,1,1,0,1,3,1,14,0,0,3,1,0,4,0,0,1,143,469,0.601,0.629,0.543,0.429,0.912,0.986,0.435,29,249,0.928,0.25,0.994,0.209,0.723,0.394,0.171,0.046
222,icmp,smtp,S0,21136,59324,0,2,3,4,1,1,1,1,0,6,3,1,4,0,0,0,485,84,0.026,0.055,0.883,0.746,0.761,0.182,0.877,171,98,0.366,0.003,0.65,0.544,0.043,0.37,0.371,0.366
108,icmp,private,S0,29767,23917,0,2,0,0,2,1,5,1,1,5,9,0,3,0,0,1,367,321,0.827,0.818,0.731,0.799,0.125,0.394,0.646,45,247,0.193,0.583,0.583,0.153,0.0,0.331,0.722,0.636
380,udp,smtp,REJ,37703,36765,0,0,2,18,5,1,3,0,1,5,2,1,3,0,0,0,297,425,0.078,0.079,0.414,0.01,0.792,0.023,0.514,105,85,0.313,0.993,0.988,0.878,0.658,0.924,0.237,0.796
28,udp,private,RSTR,58191,32401,0,3,1,19,5,1,9,1,0,2,2,2,0,0,0,1,33,5,0.859,0.018,0.394,0.343,0.59,0.627,0.881,72,237,0.004,0.754,0.573,0.654,0.274,0.722,0.074,0.888
270,udp,http,S1,5101,11222,0,3,1,29,5,1,8,0,1,11,1,0,3,0,0,1,441,16,0.851,0.518,0.133,0.057,0.792,0.562,0.7,152,214,0.735,0.194,0.293,0.915,0.942,0.69,0.719,0.874
120,tcp,ftp_data,REJ,34095,55159,1,0,0,22,1,0,5,1,1,9,8,2,1,0,0,1,272,142,0.217,0.933,0.411,0.289,0.393,0.667,0.785,200,90,0.115,0.353,0.954,0.467,0.483,0.647,0.965,0.886
33,udp,ftp_data,RSTR,34396,9886,0,1,0,0,3,0,6,1,1,6,3,0,4,0,0,0,70,91,0.749,0.173,0.619,0.157,0.119,0.875,0.683,1,15,0.866,0.796,0.878,0.098,0.495,0.089,0.024,0.482
67,icmp,ftp_data,SF,47523,34454,1,3,3,19,4,0,15,1,0,10,6,1,2,0,0,1,327,311,0.371,0.13,0.289,0.003,0.386,0.71,0.196,47,76,0.203,0.261,0.458,0.095,0.828,0.853,0.471,0.931
466,icmp,private,S0,41540,20359,0,1,3,14,4,0,5,0,0,5,7,0,4,0,0,0,293,129,0.119,0.299,0.324,0.448,0.044,0.738,0.312,78,51,0.963,0.02,0.394,0.403,0.779,0.509,0.066,0.456
256,udp,private,SF,41932,38255,0,3,3,15,5,1,15,0,0,4,5,1,1,0,0,0,356,270,0.078,0.073,0.662,0.064,0.953,0.009,0.219,165,217,0.69,0.931,0.596,0.873,0.316,0.216,0.998,0.577
331,icmp,smtp,SF,43032,30338,0,2,2,20,5,1,8,1,1,16,2,1,0,0,0,1,208,258,0.467,0.026,0.255,0.308,0.206,0.006,0.908,66,216,0.87,0.665,0.219,0.748,0.376,0.934,0.619,0.475
381,tcp,private,S0,29894,33298,1,0,1,10,4,0,1,1,0,1,9,2,3,0,0,0,451,400,0.942,0.884,0.383,0.872,0.847,0.339,0.68,178,207,0.745,0.302,0.51,0.051,0.404,0.009,0.345,0.498
18,udp,smtp,RSTR,18275,15260,0,1,1,25,4,0,15,1,1,2,7,2,4,0,0,1,257,297,0.62,0.258,0.629,0.9,0.798,0.705,0.768,186,85,0.223,0.859,0.311,0.685,0.063,0.138,0.28,0.561
490,udp,smtp,RSTR,28841,9056,0,3,0,30,2,0,14,0,1,12,8,1,0,0,0,1,477,480,0.208,0.781,0.032,0.505,0.557,0.728,0.733,113,133,0.72,0.434,0.855,0.349,0.629,0.322,0.859,0.021
96,tcp,http,S1,27356,29859,1,0,3,14,1,1,18,0,0,12,6,2,4,0,0,0,154,208,0.666,0.619,0.408,0.447,0.676,0.553,0.683,235,41,0.646,0.778,0.767,0.822,0.406,0.874,0.064,0.264
40,tcp,smtp,REJ,5147,45162,0,1,3,6,3,0,9,1,0,15,0,2,3,0,0,1,383,135,0.88,0.724,0.686,0.246,0.699,0.344,0.934,247,63,0.599,0.673,0.894,0.902,0.597,0.4,0.367,0.091
197,tcp,smtp,S0,53577,10500,0,3,2,16,2,1,12,0,0,7,10,0,2,0,0,0,210,132,0.141,0.025,0.177,0.877,0.786,0.137,0.481,55,180,0.359,0.214,0.66,0.569,0.129,0.028,0.465,0.337
497,icmp,ftp_data,S0,34746,796,1,3,1,13,4,1,7,1,1,13,7,1,0,0,0,0,266,288,0.965,0.67,0.492,0.176,0.633,0.407,0.072,1,232,0.652,0.925,0.594,0.247,0.059,0.784,0.914,0.614
264,udp,smtp,RSTR,54487,19105,1,2,1,15,3,0,5,0,1,8,4,2,1,0,0,1,443,157,0.491,0.666,0.088,0.39,0.966,0.355,0.463,27,248,0.821,0.581,0.623,0.131,0.618,0.594,0.646,0.311
51,tcp,private,RSTR,38825,25859,0,2,0,23,3,1,14,1,0,14,0,0,0,0,0,1,316,387,0.389,0.157,0.513,0.346,0.51,0.308,0.063,3,29,0.909,0.719,0.495,0.833,0.806,0.784,0.131,0.932
320,udp,eco_i,REJ,26456,22402,0,2,3,30,4,1,14,0,0,9,6,0,1,0,0,1,507,153,0.466,0.451,0.897,0.685,0.565,0.757,0.502,83,250,0.129,0.32,0.533,0.01,0.42,0.809,0.333,0.572
381,tcp,ftp_data,S1,28645,25302,0,2,0,15,2,0,14,1,0,11,1,2,4,0,0,1,362,94,0.94,0.464,0.243,0.177,0.092,0.58,0.57,222,218,0.884,0.539,0.778,0.289,0.935,0.318,0.46,0.483
434,tcp,http,SF,48745,7333,0,0,3,25,0,1,7,0,0,2,1,0,2,0,0,1,235,235,0.003,0.022,0.717,0.229,0.752,0.025,0.058,39,144,0.442,0.23,0.386,0.656,0.376,0.248,0.152,0.41
173,udp,private,SF,58960,15514,1,1,0,13,5,0,13,1,1,20,6,0,1,0,0,1,342,191,0.786,0.728,0.161,0.29,0.414,0.752,0.504,176,214,0.944,0.527,0.777,0.908,0.033,0.987,0.151,0.712
232,tcp,ftp_data,S1,20516,15081,1,1,3,9,3,0,4,1,0,10,6,0,4,0,0,1,251,351,0.659,0.486,0.087,0.463,0.394,0.792,0.433,192,97,0.101,0.656,0.065,0.066,0.588,0.295,0.145,0.265
170,udp,smtp,REJ,52284,49976,0,0,0,21,4,0,15,1,1,13,0,0,2,0,0,1,189,481,0.351,0.077,0.031,0.069,0.463,0.707,0.996,196,72,0.61,0.209,0.524,0.193,0.703,0.453,0.891,0.35
154,udp,private,S1,43087,28818,0,0,3,16,4,1,2,0,0,0,10,1,1,0,0,0,256,31,0.065,0.017,0.827,0.874,0.8,0.139,0.184,178,45,0.644,0.456,0.485,0.62,0.819,0.976,0.222,0.443
220,udp,eco_i,RSTR,24661,31146,0,2,3,3,4,1,3,0,0,3,7,2,4,0,0,0,249,173,0.076,0.013,0.314,0.991,0.979,0.044,0.048,44,127,0.931,0.246,0.705,0.472,0.909,0.521,0.531,0.115
316,tcp,private,S0,25793,40063,0,0,0,15,3,0,10,1,1,13,3,1,4,0,0,0,348,460,0.98,0.816,0.674,0.266,0.05,0.194,0.244,227,117,0.04,0.385,0.699,0.939,0.499,0.068,0.873,0.322
438,udp,eco_i,S0,38753,30679,0,0,0,7,5,1,9,0,0,15,3,1,0,0,0,0,41,280,0.114,0.061,0.425,0.155,0.795,0.06,0.75,22,180,0.58,0.689,0.89,0.946,0.554,0.108,0.941,0.79
383,tcp,ftp_data,REJ,39803,36729,1,1,3,25,5,0,4,0,1,14,6,2,4,0,0,0,452,85,0.688,0.537,0.453,0.172,0.711,0.584,0.538,99,31,0.742,0.021,0.726,0.342,0.648,0.705,0.886,0.35
164,udp,ftp_data,RSTR,44154,33077,1,0,1,25,5,0,11,1,0,8,8,0,3,0,0,1,86,119,0.193,0.592,0.606,0.93,0.093,0.84,0.369,228,59,0.988,0.86,0.492,0.082,0.953,0.148,0.413,0.377
452,udp,private,S0,53411,4092,1,3,0,11,4,0,7,1,1,4,3,2,0,0,0,0,323,337,0.619,0.967,0.54,0.094,0.146,0.59,0.761,245,243,0.109,0.602,0.368,0.686,0.786,0.717,0.348,0.877
406,icmp,smtp,REJ,3371,300,0,2,1,1,3,1,6,1,1,8,8,2,0,0,0,1,373,270,0.092,0.117,0.94,0.397,0.763,0.079,0.977,119,193,0.763,0.913,0.539,0.021,0.847,0.168,1.0,0.875
319,udp,ftp_data,S1,1262,8242,1,3,1,7,4,0,14,1,1,7,9,2,4,0,0,1,202,266,0.134,0.215,0.989,0.941,0.075,0.834,0.005,252,244,0.122,0.577,0.218,0.955,0.889,0.603,0.194,0.463
