duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
174,udp,domain_u,RSTR,12082,3367,1,3,0,2,3,1,2,0,0,4,9,1,0,0,0,0,61,286,0.099,0.024,0.791,0.226,0.67,0.015,0.443,221,151,0.99,0.305,0.621,0.61,0.74,0.948,0.208,0.211,normal
240,udp,eco_i,S1,19087,2139,0,2,2,22,3,1,7,1,0,13,1,2,1,0,0,0,466,137,0.048,0.038,0.166,0.308,0.637,0.192,0.289,32,120,0.689,0.7,0.943,0.5,0.494,0.08,0.04,0.432,normal
391,icmp,eco_i,SF,44058,53832,1,0,1,15,4,1,8,0,1,15,1,1,2,0,0,1,171,165,0.67,0.858,0.511,0.694,0.288,0.731,0.333,141,10,0.455,0.315,0.323,0.97,0.404,0.515,0.988,0.658,satan
389,udp,private,S0,3382,13340,1,1,2,14,5,1,3,0,0,5,4,2,0,0,0,1,334,317,0.855,0.958,0.461,0.117,0.832,0.498,0.717,131,181,0.273,0.835,0.98,0.244,0.551,0.384,0.922,0.508,neptune
144,icmp,private,SF,47582,19566,1,1,3,17,3,1,10,1,1,10,3,2,1,0,0,1,120,439,0.079,0.069,0.745,0.705,0.889,0.082,0.664,211,167,0.981,0.495,0.037,0.502,0.59,0.87,0.874,0.44,normal
400,tcp,private,S0,17368,22187,1,0,2,21,4,1,10,1,0,2,3,2,2,0,0,0,320,456,0.974,0.924,0.634,0.873,0.444,0.694,0.903,12,84,0.796,0.293,0.375,0.146,0.531,0.566,0.793,0.17,neptune
236,icmp,ftp_data,S0,41805,16644,1,2,0,25,3,1,5,0,1,11,9,1,3,0,0,1,234,433,0.112,0.125,0.853,0.107,0.961,0.155,0.296,180,76,0.022,0.83,0.396,0.008,0.865,0.778,0.974,0.911,normal
317,udp,ftp_data,S0,16425,44417,0,0,0,9,3,1,11,0,0,9,5,2,3,0,0,0,103,68,0.101,0.101,0.366,0.502,0.759,0.169,0.914,242,124,0.967,0.295,0.87,0.804,0.468,0.075,0.754,0.226,normal
135,tcp,domain_u,SF,35164,8099,1,2,2,18,3,1,3,0,1,0,9,2,2,0,0,0,332,33,0.088,0.109,0.701,0.649,0.954,0.131,0.037,255,127,0.116,0.235,0.538,0.389,0.371,0.949,0.696,0.54,normal
16,icmp,ftp_data,REJ,45238,24283,0,3,3,7,2,0,11,1,0,12,4,0,0,0,0,1,47,340,0.212,0.639,0.278,0.051,0.334,0.929,0.387,53,18,0.83,0.554,0.586,0.813,0.233,0.774,0.789,0.596,satan
67,tcp,http,SF,973,23477,0,2,0,5,2,1,4,1,0,2,7,1,2,0,0,0,232,258,0.022,0.019,0.727,0.909,0.85,0.117,0.643,8,16,0.999,0.847,0.426,0.108,0.712,0.444,0.899,0.322,normal
150,udp,private,S0,29734,33131,1,0,0,20,5,0,13,1,0,13,5,1,3,0,0,1,405,390,0.975,0.988,0.255,0.954,0.687,0.474,0.091,22,24,0.432,0.745,0.373,0.13,0.06,0.957,0.562,0.67,neptune
307,icmp,http,REJ,20476,23045,0,1,1,21,3,1,3,1,1,3,4,2,1,0,0,1,433,288,0.021,0.095,0.614,0.643,0.612,0.149,0.829,69,8,0.18,0.703,0.309,0.34,0.006,0.87,0.566,0.401,normal
80,udp,domain_u,REJ,24251,20423,1,0,0,4,1,1,2,1,1,13,7,2,3,0,0,1,140,111,0.001,0.112,0.43,0.283,0.67,0.076,0.667,12,57,0.395,0.599,0.008,0.301,0.211,0.137,0.256,0.328,normal
36,icmp,private,S0,26022,56476,0,3,0,14,0,1,13,1,1,9,1,1,0,0,0,1,349,498,0.87,0.945,0.69,0.362,0.437,0.106,0.436,103,135,0.079,0.871,0.746,0.222,0.779,0.076,0.633,0.531,neptune
74,tcp,private,SF,16775,12928,0,1,0,5,5,1,14,1,1,10,2,1,0,0,0,1,227,324,0.303,0.275,0.591,0.507,0.31,0.725,0.786,213,74,0.077,0.864,0.855,0.615,0.507,0.463,0.554,0.792,satan
490,udp,smtp,S0,4054,29525,0,2,0,16,5,1,1,0,1,14,8,2,4,0,0,0,187,191,0.1,0.138,0.774,0.679,0.724,0.131,0.335,85,25,0.558,0.387,0.252,0.852,0.964,0.603,0.15,0.082,normal
158,tcp,private,S0,36629,24686,1,1,0,20,5,1,11,0,1,9,2,0,2,0,0,1,342,484,0.888,0.882,0.296,0.788,0.508,0.54,0.739,135,10,0.662,0.876,0.618,0.597,0.154,0.181,0.693,0.625,neptune
145,tcp,private,S0,49308,49056,1,1,1,9,3,0,11,1,1,9,6,2,4,0,0,1,356,509,0.89,0.87,0.138,0.25,0.641,0.874,0.555,27,183,0.846,0.851,0.285,0.763,0.273,0.905,0.147,0.437,neptune
191,tcp,domain_u,S1,15451,25307,0,2,1,0,2,1,10,0,0,1,4,1,1,0,0,1,230,316,0.09,0.002,0.256,0.835,0.806,0.048,0.528,29,199,0.288,0.301,0.048,0.42,0.794,0.457,0.111,0.905,normal
180,udp,http,S1,15765,37399,1,1,0,16,2,1,0,1,1,1,10,1,2,0,0,1,383,9,0.02,0.107,0.241,0.657,0.977,0.007,0.757,35,12,0.352,0.339,0.643,0.83,0.685,0.981,0.479,0.182,normal
477,tcp,http,REJ,20321,33776,1,3,2,1,5,1,9,1,0,10,4,0,2,0,0,1,456,205,0.099,0.046,0.387,0.974,0.841,0.085,0.924,133,69,0.801,0.727,0.079,0.602,0.822,0.545,0.321,0.08,normal
372,udp,private,S0,57018,59743,1,3,2,20,0,0,12,1,0,0,2,2,3,0,0,0,347,427,0.904,0.983,0.362,0.949,0.032,0.153,0.45,95,96,0.444,0.077,0.138,0.367,0.314,0.279,0.961,0.026,neptune
109,udp,eco_i,RSTR,40099,18715,1,1,0,4,0,1,5,1,0,10,10,1,0,0,0,1,457,154,0.013,0.046,0.927,0.638,1.0,0.144,0.121,52,203,0.139,0.79,0.026,0.554,0.369,0.804,0.552,0.612,normal
64,udp,smtp,SF,20776,42096,0,3,3,21,4,1,4,0,0,13,8,0,0,0,0,0,156,85,0.026,0.094,0.225,0.947,0.961,0.068,0.079,51,163,0.956,0.274,0.625,0.614,0.093,0.641,0.592,0.581,normal
23,tcp,smtp,SF,42038,50529,1,1,3,19,3,0,15,1,1,15,3,2,3,0,0,1,233,38,0.689,0.158,0.416,0.464,0.34,0.144,0.861,82,188,0.988,0.345,0.399,0.761,0.515,0.106,0.242,0.123,guess_passwd
442,tcp,private,RSTR,40329,27402,0,1,2,18,5,1,6,0,1,14,7,1,3,0,0,0,47,484,0.007,0.008,0.241,0.583,0.825,0.073,0.598,216,168,0.673,0.286,0.008,0.107,0.134,0.264,0.366,0.403,normal
391,udp,smtp,RSTR,36035,18331,0,1,0,12,2,1,11,0,0,12,8,0,0,0,0,0,71,366,0.122,0.055,0.457,0.606,0.87,0.196,0.613,42,101,0.991,0.739,0.299,0.336,0.828,0.532,0.709,0.3,normal
305,icmp,eco_i,SF,31102,17401,0,0,3,5,4,1,4,0,0,3,3,0,3,0,0,1,215,78,0.082,0.101,0.502,0.611,0.947,0.136,0.727,181,36,0.519,0.561,0.998,0.478,0.377,0.957,0.46,0.533,normal
98,udp,eco_i,RSTR,16155,18284,1,1,2,24,2,0,15,1,1,11,8,2,2,0,0,1,63,294,0.677,0.38,0.645,0.818,0.955,0.636,0.366,74,245,0.714,0.346,0.442,0.256,0.479,0.202,0.539,0.933,satan
115,tcp,eco_i,S1,41808,15259,0,0,3,10,5,1,3,0,0,5,6,2,3,0,0,1,334,103,0.118,0.028,0.285,0.059,0.9,0.174,0.232,190,186,0.85,0.037,0.921,0.418,0.838,0.934,0.036,0.836,normal
290,tcp,http,REJ,39503,7032,1,2,3,20,4,1,4,1,1,6,1,1,1,0,0,1,332,132,0.001,0.058,0.337,0.295,0.779,0.053,0.611,164,230,0.405,0.428,0.328,0.401,0.095,0.982,0.477,0.936,normal
5,icmp,eco_i,S1,17141,42839,1,1,0,21,0,1,9,0,1,9,1,2,2,0,0,1,315,114,0.106,0.012,0.153,0.748,0.826,0.012,0.549,121,194,0.538,0.664,0.218,0.247,0.755,0.873,0.082,0.447,normal
274,icmp,ftp_data,S1,9820,10783,1,3,0,21,1,1,2,1,0,14,2,2,3,0,0,1,289,30,0.027,0.02,0.308,0.022,0.857,0.146,0.218,19,12,0.424,0.7,0.541,0.06,0.894,0.986,0.472,0.287,normal
445,udp,domain_u,RSTR,59425,24739,1,0,1,11,2,0,18,0,0,6,0,0,2,0,0,1,345,369,0.544,0.532,0.823,0.248,0.346,0.276,0.937,186,196,0.113,0.809,0.419,0.766,0.884,0.016,0.206,0.101,buffer_overflow
276,udp,private,S0,14238,49439,0,1,2,7,5,1,10,0,1,4,10,2,1,0,0,1,421,361,0.97,0.86,0.88,0.912,0.626,0.427,0.496,249,89,0.942,0.671,0.786,0.319,0.416,0.149,0.376,0.754,neptune
211,udp,private,S0,27296,36522,0,3,1,8,1,1,2,1,1,2,8,2,1,0,0,0,422,362,0.939,0.941,0.874,0.188,0.762,0.724,0.559,123,54,0.869,0.333,0.957,0.015,0.937,0.962,0.117,1.0,neptune
397,tcp,smtp,REJ,18550,24947,1,2,2,8,2,1,14,0,1,10,3,1,2,0,0,1,24,289,0.109,0.111,0.016,0.553,0.784,0.147,0.295,51,85,0.23,0.57,0.246,0.551,0.943,0.338,0.763,0.489,normal
250,tcp,eco_i,S1,12061,58285,0,0,0,21,0,1,13,0,0,2,2,0,1,0,0,1,192,31,0.016,0.014,0.617,0.483,0.66,0.038,0.552,4,5,0.529,0.275,0.977,0.017,0.813,0.674,0.806,0.91,normal
40,udp,private,RSTR,24448,26609,1,1,1,9,5,1,1,0,1,12,6,2,3,0,0,0,327,5,0.042,0.081,0.845,0.645,0.863,0.036,0.974,230,136,0.919,0.23,0.901,0.692,0.567,0.271,0.924,0.684,normal
73,tcp,eco_i,S1,49299,53784,1,0,2,5,4,0,12,1,1,4,1,2,2,0,0,0,51,224,0.232,0.076,0.244,0.614,0.596,0.648,0.448,163,70,0.784,0.451,0.228,0.553,0.375,0.186,0.586,0.38,satan
378,udp,eco_i,S0,25534,20753,1,0,0,0,2,1,11,1,0,4,1,0,3,0,0,1,286,285,0.025,0.04,0.09,0.554,0.707,0.029,0.864,4,75,0.414,0.779,0.725,0.56,0.993,0.243,0.521,0.685,normal
247,udp,domain_u,REJ,51292,5041,1,2,1,23,5,1,6,1,0,4,4,0,3,0,0,1,431,318,0.145,0.117,0.44,0.431,0.73,0.056,0.594,77,83,0.603,0.695,0.479,0.178,0.398,0.319,0.735,0.633,normal
102,udp,private,S0,38812,35758,0,0,3,22,1,1,9,0,1,15,2,2,2,0,0,0,327,496,0.85,0.933,0.377,0.449,0.598,0.582,0.534,237,236,0.87,0.418,0.037,0.968,0.702,0.812,0.594,0.914,neptune
330,icmp,http,S1,44398,42384,1,2,3,3,0,1,8,0,0,14,5,1,3,0,0,0,177,511,0.122,0.017,0.416,0.962,0.94,0.13,0.142,80,88,0.455,0.207,0.483,0.476,0.438,0.697,0.319,0.3,normal
264,tcp,private,S0,11432,36169,0,2,3,14,1,1,5,0,1,12,0,2,4,0,0,0,399,456,0.879,0.823,0.215,0.278,0.704,0.796,0.577,205,224,0.537,0.366,0.197,0.114,0.671,0.489,0.966,0.313,neptune
416,udp,smtp,S0,44144,46267,1,0,1,10,0,1,9,0,0,11,2,2,3,0,0,1,306,71,0.058,0.084,0.487,0.537,0.861,0.082,0.173,43,126,0.289,0.187,0.842,0.619,0.866,0.952,0.485,0.195,normal
85,icmp,domain_u,RSTR,5417,37053,0,1,2,1,2,1,9,0,1,15,8,2,0,0,0,0,138,397,0.13,0.018,0.542,0.757,0.925,0.042,0.219,109,27,0.736,0.654,0.248,0.875,0.032,0.263,0.862,0.087,normal
323,icmp,private,S0,28060,10877,0,1,1,25,0,1,8,0,1,9,4,2,2,0,0,0,319,462,0.959,0.954,0.059,0.277,0.656,0.701,0.133,38,183,0.322,0.248,0.844,0.393,0.142,0.632,0.628,0.375,neptune
232,icmp,private,REJ,31984,21449,0,0,3,20,5,1,2,1,0,13,3,1,2,0,0,1,425,146,0.103,0.02,0.566,0.485,0.86,0.032,0.048,26,161,0.784,0.46,0.124,0.858,0.441,0.001,0.958,0.202,normal
128,udp,ftp_data,REJ,5401,24369,0,0,3,20,3,0,13,0,0,0,3,1,0,0,0,1,304,116,0.519,0.445,0.008,0.344,0.121,0.86,0.694,123,19,0.229,0.089,0.806,0.103,0.368,0.299,0.383,0.813,guess_passwd
332,icmp,http,S1,10755,28842,1,1,1,13,4,1,6,0,0,4,1,2,3,0,0,1,494,220,0.008,0.135,0.277,0.084,0.982,0.099,0.608,200,241,0.69,0.848,0.658,0.302,0.518,0.51,0.748,0.296,normal
36,udp,eco_i,S1,34621,58243,0,2,2,4,3,1,11,0,1,2,0,2,0,0,0,0,135,111,0.08,0.059,0.789,0.507,0.854,0.167,0.415,180,103,0.082,0.537,0.616,0.277,0.31,0.511,0.203,0.808,normal
373,tcp,private,S0,55474,15639,0,1,0,13,0,1,1,1,0,3,0,2,1,0,0,0,319,427,0.891,0.872,0.783,0.721,0.167,0.127,0.781,69,188,0.886,0.771,0.029,0.807,0.272,0.064,0.712,0.577,neptune
80,icmp,ftp_data,REJ,16719,50680,0,0,1,23,4,1,1,0,0,1,7,1,3,0,0,0,92,477,0.007,0.06,0.803,0.714,0.951,0.173,0.248,235,185,0.32,0.826,0.572,0.119,0.673,0.053,0.223,0.516,normal
283,udp,private,S0,29933,522,1,1,2,18,2,0,14,1,1,6,8,0,1,0,0,0,371,323,0.809,0.846,0.636,0.693,0.01,0.335,0.759,97,218,0.738,0.308,0.205,0.983,0.42,0.961,0.973,0.142,neptune
234,udp,eco_i,REJ,49014,5564,0,1,3,2,4,0,13,0,0,9,4,1,3,0,0,1,163,232,0.272,0.075,0.562,0.78,0.585,0.652,0.723,120,81,0.407,0.536,0.965,0.208,0.308,0.265,0.12,0.158,satan
364,udp,ftp_data,SF,16267,23313,1,0,2,8,1,1,12,1,0,3,7,0,1,0,0,0,7,32,0.124,0.05,0.131,0.824,0.617,0.092,0.645,150,151,0.259,0.813,0.022,0.064,0.902,0.443,0.129,0.905,normal
254,icmp,domain_u,RSTR,1932,25082,1,1,2,6,1,1,8,1,0,1,9,2,4,0,0,0,332,152,0.052,0.085,0.479,0.088,0.729,0.054,0.643,205,135,0.249,0.994,0.544,0.02,0.382,0.713,0.48,0.781,normal
458,icmp,ftp_data,SF,53129,51022,1,0,3,16,2,1,5,0,0,7,4,2,0,0,0,0,295,434,0.122,0.146,0.935,0.992,0.817,0.035,0.318,189,179,0.359,0.592,0.703,0.352,0.568,0.142,0.948,0.837,normal
112,tcp,ftp_data,S1,1306,34501,1,0,2,19,1,1,10,0,1,1,0,0,4,0,0,0,397,57,0.104,0.139,0.961,0.374,0.915,0.045,0.101,78,83,0.136,0.158,0.949,0.792,0.961,0.649,0.174,0.969,normal
375,tcp,domain_u,REJ,45121,19301,0,1,0,22,4,1,1,0,1,7,10,2,0,0,0,1,73,170,0.058,0.11,0.982,0.168,0.988,0.177,0.709,164,187,0.887,0.447,0.265,0.25,0.068,0.257,0.108,0.001,normal
192,udp,private,S1,6647,54316,1,1,1,14,0,1,9,0,1,8,1,0,2,0,0,0,455,193,0.083,0.139,0.942,0.978,0.816,0.132,0.893,181,8,0.431,0.654,0.607,0.434,0.054,0.331,0.974,0.409,normal
292,tcp,http,RSTR,36022,55040,1,1,0,11,0,1,2,1,1,6,1,0,1,0,0,0,327,150,0.085,0.023,0.116,0.785,0.879,0.019,0.265,165,140,0.388,0.371,0.381,0.187,0.045,0.44,0.263,0.837,normal
116,icmp,private,S0,36280,3996,1,3,3,18,1,1,9,0,1,1,8,2,4,0,0,0,399,442,0.879,0.865,0.984,0.972,0.808,0.126,0.423,253,175,0.435,0.997,0.627,0.834,0.258,0.911,0.914,0.067,neptune
300,udp,http,S1,34246,51228,1,0,3,4,1,1,3,0,1,11,6,1,3,0,0,1,293,312,0.126,0.129,0.403,0.618,0.874,0.194,0.396,226,85,0.691,0.049,0.475,0.269,0.372,0.338,0.794,0.311,normal
396,udp,eco_i,RSTR,54121,21028,1,3,0,6,3,1,13,1,1,1,8,0,0,0,0,1,364,260,0.102,0.036,0.524,0.569,0.796,0.089,0.201,15,64,0.033,0.051,0.36,0.199,0.368,0.464,0.397,0.923,normal
179,udp,smtp,S1,22560,10716,1,0,2,16,3,0,18,1,0,14,10,0,2,0,0,1,263,11,0.865,0.967,0.682,0.474,0.132,0.173,0.801,58,65,0.608,0.943,0.713,0.709,0.275,0.895,0.852,0.459,buffer_overflow
287,tcp,smtp,REJ,42424,38913,1,2,0,15,0,1,8,1,1,8,10,2,2,0,0,0,77,265,0.028,0.109,0.805,0.802,0.689,0.107,0.681,185,7,0.655,0.997,0.259,0.419,0.388,0.035,0.708,0.572,normal
153,icmp,private,S0,55405,11140,0,2,0,15,1,1,5,1,0,7,5,0,2,0,0,1,335,351,0.869,0.997,0.294,0.851,0.471,0.866,0.584,242,159,0.071,0.889,0.5,0.867,0.382,0.298,0.054,0.854,neptune
441,udp,private,REJ,46902,11819,0,3,2,20,1,1,1,0,1,8,3,0,4,0,0,0,251,403,0.764,0.088,0.387,0.633,0.403,0.613,0.826,10,137,0.199,0.373,0.014,0.322,0.833,0.191,0.677,0.627,satan
85,icmp,smtp,REJ,4278,53991,0,2,2,14,5,1,13,0,1,15,5,0,1,0,0,1,10,117,0.007,0.017,0.211,0.022,0.778,0.025,0.711,203,10,0.375,0.64,0.771,0.623,0.594,0.048,0.108,0.836,normal
355,icmp,ftp_data,S0,44940,41308,0,2,3,21,0,1,4,1,0,3,4,0,0,0,0,1,102,312,0.022,0.014,0.523,0.202,0.805,0.145,0.039,128,234,0.208,0.933,0.331,0.003,0.672,0.907,0.835,0.669,normal
233,udp,eco_i,S0,19400,17309,1,0,0,5,0,1,11,1,1,3,1,0,0,0,0,0,340,332,0.017,0.104,0.438,0.622,0.623,0.188,0.815,47,30,0.401,0.962,0.272,0.386,0.851,0.8,0.649,0.797,normal
410,udp,smtp,RSTR,37286,44459,1,1,3,24,2,1,4,1,1,3,6,1,0,0,0,0,134,336,0.058,0.126,0.678,0.768,0.823,0.198,0.978,172,224,0.338,0.523,0.701,0.095,0.662,0.249,0.346,0.676,normal
434,icmp,ftp_data,S1,30755,55828,1,1,0,24,3,1,7,1,1,1,8,0,4,0,0,1,207,419,0.046,0.076,0.801,0.448,0.683,0.134,0.119,128,191,0.653,0.103,0.412,0.557,0.0,0.091,0.604,0.619,normal
432,udp,ftp_data,S0,29783,21756,1,2,3,3,5,0,0,1,1,9,8,2,2,0,0,1,24,460,0.164,0.14,0.717,0.722,0.107,0.611,0.188,239,219,0.393,0.457,0.781,0.717,0.108,0.414,0.927,0.837,guess_passwd
493,icmp,smtp,S0,32691,284,0,3,3,16,1,1,4,0,1,10,8,1,3,0,0,0,141,204,0.052,0.101,0.453,0.133,0.993,0.13,0.748,77,216,0.701,0.861,0.712,0.936,0.633,0.201,0.624,0.291,normal
363,icmp,ftp_data,REJ,7563,49858,1,3,3,21,4,0,13,0,0,0,6,0,0,0,0,1,103,137,0.75,0.161,0.287,0.251,0.839,0.691,0.295,193,139,0.032,0.814,0.102,0.868,0.739,0.865,0.742,0.561,guess_passwd
213,tcp,private,S0,51649,44901,1,0,0,23,2,0,14,0,1,6,3,1,3,0,0,0,460,457,0.969,0.86,0.735,0.119,0.041,0.279,0.264,42,150,0.846,0.006,0.466,0.937,0.04,0.929,0.597,0.774,neptune
401,icmp,private,S0,46378,20831,0,1,0,25,4,0,13,1,0,11,3,0,2,0,0,1,329,398,0.851,0.945,0.53,0.997,0.824,0.981,0.009,172,89,0.446,0.904,0.614,0.621,0.959,0.683,0.321,0.916,neptune
411,icmp,private,S1,33340,29200,1,0,2,20,1,1,2,0,0,0,10,0,1,0,0,0,443,351,0.086,0.034,0.538,0.703,0.703,0.078,0.647,241,19,0.747,0.154,0.459,0.332,0.088,0.054,0.794,0.558,normal
199,udp,private,S0,44125,7753,0,0,0,22,0,1,3,1,1,2,4,1,3,0,0,1,336,331,0.808,0.915,0.22,0.747,0.797,0.849,0.295,163,37,0.298,0.887,0.965,0.867,0.648,0.957,0.011,0.875,neptune
107,icmp,http,REJ,49040,48590,1,1,3,20,4,1,5,0,0,8,3,0,1,0,0,0,436,385,0.068,0.092,0.461,0.55,0.722,0.117,0.098,186,149,0.487,0.331,0.128,0.655,0.1,0.62,0.9,0.318,normal
86,udp,private,RSTR,316,20526,0,1,3,8,2,1,10,1,1,14,5,1,3,0,0,0,90,331,0.083,0.082,0.859,0.14,0.999,0.094,0.886,20,187,0.075,0.019,0.507,0.031,0.582,0.405,0.59,0.906,normal
456,udp,private,S0,50603,38640,1,1,3,16,4,0,12,1,0,7,9,2,1,0,0,0,416,311,0.808,0.93,0.659,0.968,0.736,0.484,0.359,57,195,0.488,0.063,0.369,0.043,0.207,0.908,0.361,0.47,neptune
427,icmp,eco_i,REJ,48621,17256,0,3,3,11,4,1,8,1,0,12,5,1,3,0,0,1,455,310,0.089,0.097,0.44,0.23,0.764,0.049,0.15,41,93,0.602,0.817,0.661,0.415,0.33,0.113,0.675,0.479,normal
322,icmp,ftp_data,S0,33596,2568,0,0,1,8,1,1,0,1,0,6,7,2,3,0,0,1,88,113,0.076,0.063,0.795,0.82,0.66,0.019,0.265,186,176,0.343,0.453,0.591,0.23,0.385,0.109,0.202,0.86,normal
449,icmp,smtp,SF,51371,34827,0,0,3,21,1,1,13,1,1,1,8,1,1,0,0,1,405,394,0.087,0.018,0.741,0.762,0.603,0.131,0.134,123,197,0.233,0.859,0.283,0.877,0.409,0.189,0.709,0.789,normal
54,udp,private,S0,10143,27923,1,2,3,18,2,1,12,0,1,15,2,1,4,0,0,1,341,399,0.993,0.801,0.705,0.736,0.855,0.659,0.748,115,201,0.699,0.162,0.214,0.401,0.338,0.551,0.697,0.707,neptune
222,tcp,domain_u,S1,5776,4199,1,1,2,2,4,1,12,1,1,1,2,2,3,0,0,1,6,104,0.061,0.03,0.518,0.195,0.606,0.141,0.698,158,44,0.674,0.36,0.655,0.976,0.087,0.276,0.399,0.67,normal
468,icmp,smtp,S1,38203,22812,1,2,1,19,2,0,12,0,1,5,6,2,0,0,0,1,258,151,0.34,0.117,0.513,0.258,0.538,0.793,0.25,114,248,0.377,0.484,0.243,0.34,0.776,0.682,0.897,0.862,guess_passwd
